date,sales,onpromotion,dcoilwtico,transactions,is_national_holiday,precipitation_mm,is_payday,day_of_week,month,year
2013-02-23,526.0,0.0,93.12,4461.0,0,5.0,0,5,2,2013
2013-02-24,631.0,0.0,93.12,4517.0,0,10.5,0,6,2,2013
2013-02-25,314.0,0.0,92.74,3515.0,0,6.3,0,0,2,2013
2013-02-26,248.0,0.0,92.63,3310.0,0,4.1,0,1,2,2013
2013-02-27,314.0,0.0,92.84,3595.0,0,6.8,0,2,2,2013
2013-02-28,224.0,0.0,92.03,3426.0,0,6.9,1,3,2,2013
2013-03-01,397.0,0.0,90.71,4075.0,0,12.8,0,4,3,2013
2013-03-02,726.0,0.0,90.71,4891.0,0,18.6,0,5,3,2013
2013-03-03,948.0,0.0,90.71,5065.0,0,18.4,0,6,3,2013
2013-03-04,461.0,0.0,90.13,3823.0,0,7.8,0,0,3,2013
2013-03-05,312.0,0.0,90.88,3582.0,0,8.4,0,1,3,2013
2013-03-06,392.0,0.0,90.47,4105.0,0,11.8,0,2,3,2013
2013-03-07,215.0,0.0,91.53,3551.0,0,2.0,0,3,3,2013
2013-03-08,258.0,0.0,92.01,3998.0,0,1.8,0,4,3,2013
2013-03-09,514.0,0.0,92.01,4846.0,0,10.9,0,5,3,2013
2013-03-10,627.0,0.0,92.01,4756.0,0,11.5,0,6,3,2013
2013-03-11,293.0,0.0,92.07,3626.0,0,21.0,0,0,3,2013
2013-03-12,227.0,0.0,92.44,3376.0,0,6.6,0,1,3,2013
2013-03-13,317.0,0.0,92.47,3799.0,0,14.8,0,2,3,2013
2013-03-14,199.0,0.0,93.03,3276.0,0,13.0,0,3,3,2013
2013-03-15,250.0,0.0,93.49,3732.0,0,16.4,1,4,3,2013
2013-03-16,581.0,0.0,93.49,4786.0,0,14.9,0,5,3,2013
2013-03-17,817.0,0.0,93.49,5037.0,0,10.5,0,6,3,2013
2013-03-18,300.0,0.0,93.71,3556.0,0,10.1,0,0,3,2013
2013-03-19,252.0,0.0,92.44,3431.0,0,12.6,0,1,3,2013
2013-03-20,314.0,0.0,93.21,3806.0,0,9.5,0,2,3,2013
2013-03-21,211.0,0.0,92.46,3375.0,0,14.5,0,3,3,2013
2013-03-22,234.0,0.0,93.41,3826.0,0,11.8,0,4,3,2013
2013-03-23,566.0,0.0,93.41,4972.0,0,11.4,0,5,3,2013
2013-03-24,600.0,0.0,93.41,4485.0,0,15.8,0,6,3,2013
2013-03-25,258.0,0.0,94.55,3533.0,0,5.6,0,0,3,2013
2013-03-26,148.0,0.0,95.99,2756.0,0,3.0,0,1,3,2013
2013-03-27,319.0,0.0,96.53,4160.0,0,3.0,0,2,3,2013
2013-03-28,244.0,0.0,97.24,4090.0,0,7.9,0,3,3,2013
2013-03-29,321.0,0.0,97.24,3905.0,0,13.1,0,4,3,2013
2013-03-30,557.0,0.0,97.24,4178.0,0,4.3,0,5,3,2013
2013-03-31,601.0,0.0,97.24,4259.0,0,1.6,1,6,3,2013
2013-04-01,469.0,0.0,97.1,3812.0,0,2.5,0,0,4,2013
2013-04-02,392.0,0.0,97.23,3610.0,0,25.6,0,1,4,2013
2013-04-03,382.0,0.0,95.02,4212.0,0,4.1,0,2,4,2013
2013-04-04,311.0,0.0,93.26,3457.0,0,6.0,0,3,4,2013
2013-04-05,384.0,0.0,92.76,3816.0,0,8.4,0,4,4,2013
2013-04-06,930.0,0.0,92.76,5047.0,0,3.1,0,5,4,2013
2013-04-07,1079.0,0.0,92.76,4857.0,0,1.8,0,6,4,2013
2013-04-08,437.0,0.0,93.36,3595.0,0,4.6,0,0,4,2013
2013-04-09,393.0,0.0,94.18,3417.0,0,7.1,0,1,4,2013
2013-04-10,409.0,0.0,94.59,4008.0,0,9.6,0,2,4,2013
2013-04-11,308.0,0.0,93.44,3489.0,0,14.9,0,3,4,2013
2013-04-12,296.0,0.0,91.23,3928.0,0,3.5,0,4,4,2013
2013-04-13,720.0,0.0,91.23,4843.0,0,2.5,0,5,4,2013
2013-04-14,859.0,0.0,91.23,4745.0,0,13.4,0,6,4,2013
2013-04-15,398.0,0.0,88.75,3499.0,0,13.1,1,0,4,2013
2013-04-16,455.0,0.0,88.73,3496.0,0,10.5,0,1,4,2013
2013-04-17,476.0,0.0,86.65,3954.0,0,14.1,0,2,4,2013
2013-04-18,356.0,0.0,87.83,3316.0,0,8.0,0,3,4,2013
2013-04-19,292.0,0.0,88.04,3558.0,0,12.7,0,4,4,2013
2013-04-20,783.0,0.0,88.04,5052.0,0,20.9,0,5,4,2013
2013-04-21,934.0,0.0,88.04,4905.0,0,17.5,0,6,4,2013
2013-04-22,413.0,0.0,88.81,3531.0,0,18.7,0,0,4,2013
2013-04-23,355.0,0.0,89.21,3432.0,0,14.7,0,1,4,2013
2013-04-24,447.0,0.0,91.07,3950.0,0,1.4,0,2,4,2013
2013-04-25,245.0,0.0,93.27,3429.0,0,3.4,0,3,4,2013
2013-04-26,217.0,0.0,92.63,3872.0,0,7.3,0,4,4,2013
2013-04-27,456.0,0.0,92.63,4763.0,0,10.4,0,5,4,2013
2013-04-28,749.0,0.0,92.63,4799.0,0,11.2,0,6,4,2013
2013-04-29,221.0,0.0,94.09,3415.0,1,7.1,0,0,4,2013
2013-04-30,269.0,0.0,93.22,3632.0,0,11.4,1,1,4,2013
2013-05-01,641.0,0.0,90.74,5053.0,1,8.4,0,2,5,2013
2013-05-02,247.0,0.0,93.7,3504.0,0,13.4,0,3,5,2013
2013-05-03,247.0,0.0,95.25,3766.0,0,10.4,0,4,5,2013
2013-05-04,580.0,0.0,95.25,4962.0,0,14.0,0,5,5,2013
2013-05-05,711.0,0.0,95.25,5021.0,0,12.2,0,6,5,2013
2013-05-06,324.0,0.0,95.8,3643.0,0,10.7,0,0,5,2013
2013-05-07,286.0,0.0,95.28,3347.0,0,12.3,0,1,5,2013
2013-05-08,361.0,0.0,96.24,4172.0,0,14.2,0,2,5,2013
2013-05-09,216.0,0.0,96.09,3791.0,0,7.5,0,3,5,2013
2013-05-10,262.0,0.0,95.81,4316.0,0,10.5,0,4,5,2013
2013-05-11,560.0,0.0,95.81,6328.0,1,6.6,0,5,5,2013
2013-05-12,367.0,0.0,95.81,4159.0,1,14.1,0,6,5,2013
2013-05-13,299.0,0.0,94.76,3600.0,0,2.5,0,0,5,2013
2013-05-14,225.0,0.0,93.96,3421.0,0,12.6,0,1,5,2013
2013-05-15,295.0,0.0,93.95,4105.0,0,22.8,1,2,5,2013
2013-05-16,288.0,0.0,94.85,3648.0,0,20.5,0,3,5,2013
2013-05-17,272.0,0.0,95.72,3832.0,0,3.4,0,4,5,2013
2013-05-18,553.0,0.0,95.72,5106.0,0,1.3,0,5,5,2013
2013-05-19,629.0,0.0,95.72,4684.0,0,8.6,0,6,5,2013
2013-05-20,296.0,0.0,96.29,3695.0,0,16.8,0,0,5,2013
2013-05-21,1595.0,0.0,95.55,3507.0,0,19.7,0,1,5,2013
2013-05-22,275.0,0.0,93.98,3969.0,0,10.0,0,2,5,2013
2013-05-23,214.0,0.0,94.12,3675.0,0,6.8,0,3,5,2013
2013-05-24,358.0,0.0,93.84,4013.0,1,10.1,0,4,5,2013
2013-05-25,373.0,0.0,93.84,4116.0,0,12.3,0,5,5,2013
2013-05-26,475.0,0.0,93.84,4039.0,0,13.4,0,6,5,2013
2013-05-27,227.0,0.0,93.84,3455.0,0,10.9,0,0,5,2013
2013-05-28,242.0,0.0,94.65,3407.0,0,14.2,0,1,5,2013
2013-05-29,262.0,0.0,93.13,3702.0,0,10.3,0,2,5,2013
2013-05-30,250.0,0.0,93.57,3572.0,0,11.5,0,3,5,2013
2013-05-31,259.0,0.0,91.93,3886.0,0,12.4,1,4,5,2013
2013-06-01,702.0,0.0,91.93,5168.0,0,10.4,0,5,6,2013
2013-06-02,759.0,0.0,91.93,4566.0,0,1.3,0,6,6,2013
2013-06-03,482.0,0.0,93.41,4034.0,0,0.0,0,0,6,2013
2013-06-04,323.0,0.0,93.36,3563.0,0,1.4,0,1,6,2013
2013-06-05,324.0,0.0,93.66,4107.0,0,2.1,0,2,6,2013
2013-06-06,1256.0,0.0,94.71,3482.0,0,1.8,0,3,6,2013
2013-06-07,225.0,0.0,96.11,3965.0,0,0.7,0,4,6,2013
2013-06-08,480.0,0.0,96.11,4617.0,0,0.0,0,5,6,2013
2013-06-09,480.0,0.0,96.11,4668.0,0,0.6,0,6,6,2013
2013-06-10,286.0,0.0,95.82,3559.0,0,0.4,0,0,6,2013
2013-06-11,98.0,0.0,95.5,2438.0,0,3.4,0,1,6,2013
2013-06-12,274.0,0.0,95.98,4027.0,0,1.4,0,2,6,2013
2013-06-13,221.0,0.0,96.66,3543.0,0,1.6,0,3,6,2013
2013-06-14,202.0,0.0,97.83,4177.0,0,2.5,0,4,6,2013
2013-06-15,474.0,0.0,97.83,5511.0,0,1.0,1,5,6,2013
2013-06-16,410.0,0.0,97.83,4233.0,0,0.8,0,6,6,2013
2013-06-17,352.0,0.0,97.86,3793.0,0,3.2,0,0,6,2013
2013-06-18,319.0,0.0,98.46,3347.0,0,2.9,0,1,6,2013
2013-06-19,272.0,0.0,98.24,3909.0,0,1.1,0,2,6,2013
2013-06-20,187.0,0.0,94.89,3371.0,0,2.4,0,3,6,2013
2013-06-21,164.0,0.0,93.81,3866.0,0,1.7,0,4,6,2013
2013-06-22,456.0,0.0,93.81,4603.0,0,3.2,0,5,6,2013
2013-06-23,524.0,0.0,93.81,4622.0,0,5.0,0,6,6,2013
2013-06-24,276.0,0.0,95.07,3584.0,0,1.4,0,0,6,2013
2013-06-25,210.0,0.0,95.25,3470.0,0,4.4,0,1,6,2013
2013-06-26,257.0,0.0,95.47,3838.0,0,3.0,0,2,6,2013
2013-06-27,186.0,0.0,97.0,3410.0,0,1.8,0,3,6,2013
2013-06-28,215.0,0.0,96.36,3866.0,0,12.0,0,4,6,2013
2013-06-29,519.0,0.0,96.36,4601.0,0,8.7,0,5,6,2013
2013-06-30,620.0,0.0,96.36,4541.0,0,6.6,1,6,6,2013
2013-07-01,422.0,0.0,97.94,3998.0,0,9.9,0,0,7,2013
2013-07-02,328.0,0.0,99.65,3717.0,0,6.9,0,1,7,2013
2013-07-03,378.0,0.0,101.92,4163.0,0,8.1,0,2,7,2013
2013-07-04,230.0,0.0,101.92,3569.0,0,9.7,0,3,7,2013
2013-07-05,237.0,0.0,103.09,3973.0,0,1.2,0,4,7,2013
2013-07-06,588.0,0.0,103.09,4665.0,0,1.3,0,5,7,2013
2013-07-07,631.0,0.0,103.09,4589.0,0,3.4,0,6,7,2013
2013-07-08,1423.0,0.0,103.03,3725.0,0,1.8,0,0,7,2013
2013-07-09,274.0,0.0,103.46,3531.0,0,0.8,0,1,7,2013
2013-07-10,330.0,0.0,106.41,3820.0,0,2.2,0,2,7,2013
2013-07-11,203.0,0.0,104.77,3445.0,0,1.1,0,3,7,2013
2013-07-12,260.0,0.0,105.85,3978.0,0,1.3,0,4,7,2013
2013-07-13,440.0,0.0,105.85,4514.0,0,1.0,0,5,7,2013
2013-07-14,537.0,0.0,105.85,4383.0,0,1.9,0,6,7,2013
2013-07-15,280.0,0.0,106.2,3815.0,0,1.1,1,0,7,2013
2013-07-16,363.0,0.0,105.88,3860.0,0,0.7,0,1,7,2013
2013-07-17,330.0,0.0,106.39,3889.0,0,1.6,0,2,7,2013
2013-07-18,221.0,0.0,107.94,3445.0,0,2.3,0,3,7,2013
2013-07-19,236.0,0.0,108.0,3861.0,0,0.4,0,4,7,2013
2013-07-20,501.0,0.0,108.0,4411.0,0,0.1,0,5,7,2013
2013-07-21,491.0,0.0,108.0,4373.0,0,1.1,0,6,7,2013
2013-07-22,315.0,0.0,106.61,3773.0,0,0.8,0,0,7,2013
2013-07-23,266.0,0.0,107.13,3576.0,0,0.5,0,1,7,2013
2013-07-24,293.0,0.0,105.41,3882.0,0,0.6,0,2,7,2013
2013-07-25,234.0,0.0,105.47,3524.0,0,2.5,0,3,7,2013
2013-07-26,207.0,0.0,104.76,4003.0,0,0.1,0,4,7,2013
2013-07-27,419.0,0.0,104.76,4413.0,0,0.3,0,5,7,2013
2013-07-28,603.0,0.0,104.76,4241.0,0,0.4,0,6,7,2013
2013-07-29,280.0,0.0,104.61,3520.0,0,0.1,0,0,7,2013
2013-07-30,256.0,0.0,103.14,3499.0,0,2.1,0,1,7,2013
2013-07-31,377.0,0.0,105.1,4188.0,0,2.1,1,2,7,2013
2013-08-01,311.0,0.0,107.93,3797.0,0,1.2,0,3,8,2013
2013-08-02,359.0,0.0,106.94,4006.0,0,0.0,0,4,8,2013
2013-08-03,536.0,0.0,106.94,4576.0,0,0.9,0,5,8,2013
2013-08-04,607.0,0.0,106.94,4563.0,0,1.1,0,6,8,2013
2013-08-05,337.0,0.0,106.61,3833.0,0,0.4,0,0,8,2013
2013-08-06,228.0,0.0,105.32,3526.0,0,1.5,0,1,8,2013
2013-08-07,283.0,0.0,104.41,3971.0,0,3.8,0,2,8,2013
2013-08-08,228.0,0.0,103.45,3318.0,0,11.0,0,3,8,2013
2013-08-09,262.0,0.0,106.04,3856.0,0,6.4,0,4,8,2013
2013-08-10,468.0,0.0,106.04,4212.0,1,8.6,0,5,8,2013
2013-08-11,487.0,0.0,106.04,4108.0,0,9.0,0,6,8,2013
2013-08-12,279.0,0.0,106.19,3740.0,0,7.6,0,0,8,2013
2013-08-13,253.0,0.0,106.78,3587.0,0,3.0,0,1,8,2013
2013-08-14,1773.0,0.0,106.89,3733.0,0,0.7,0,2,8,2013
2013-08-15,238.0,0.0,107.43,3459.0,0,3.6,1,3,8,2013
2013-08-16,326.0,0.0,107.58,4074.0,0,7.2,0,4,8,2013
2013-08-17,462.0,0.0,107.58,4722.0,0,3.7,0,5,8,2013
2013-08-18,573.0,0.0,107.58,4585.0,0,8.3,0,6,8,2013
2013-08-19,317.0,0.0,107.14,3767.0,0,6.2,0,0,8,2013
2013-08-20,236.0,0.0,104.9,3664.0,0,1.8,0,1,8,2013
2013-08-21,262.0,0.0,103.93,4043.0,0,2.8,0,2,8,2013
2013-08-22,213.0,0.0,104.93,3426.0,0,2.9,0,3,8,2013
2013-08-23,240.0,0.0,106.48,3900.0,0,4.9,0,4,8,2013
2013-08-24,459.0,0.0,106.48,4617.0,0,6.8,0,5,8,2013
2013-08-25,472.0,0.0,106.48,4480.0,0,15.2,0,6,8,2013
2013-08-26,328.0,0.0,105.88,3831.0,0,4.9,0,0,8,2013
2013-08-27,264.0,0.0,109.11,3654.0,0,3.8,0,1,8,2013
2013-08-28,284.0,0.0,110.17,4059.0,0,2.9,0,2,8,2013
2013-08-29,262.0,0.0,108.51,3726.0,0,0.2,0,3,8,2013
2013-08-30,322.0,0.0,107.98,4191.0,0,1.3,0,4,8,2013
2013-08-31,669.0,0.0,107.98,5214.0,0,1.0,1,5,8,2013
2013-09-01,913.0,0.0,107.98,5391.0,0,4.4,0,6,9,2013
2013-09-02,464.0,0.0,107.98,4303.0,0,12.7,0,0,9,2013
2013-09-03,351.0,0.0,108.67,3938.0,0,11.6,0,1,9,2013
2013-09-04,393.0,0.0,107.29,4372.0,0,6.5,0,2,9,2013
2013-09-05,279.0,0.0,108.5,3629.0,0,5.3,0,3,9,2013
2013-09-06,257.0,0.0,110.62,3751.0,0,12.2,0,4,9,2013
2013-09-07,702.0,0.0,110.62,5077.0,0,11.0,0,5,9,2013
2013-09-08,738.0,0.0,110.62,5038.0,0,6.2,0,6,9,2013
2013-09-09,1836.0,0.0,109.62,3789.0,0,3.6,0,0,9,2013
2013-09-10,245.0,0.0,107.48,3337.0,0,2.7,0,1,9,2013
2013-09-11,274.0,0.0,107.65,4035.0,0,9.9,0,2,9,2013
2013-09-12,487.0,0.0,108.72,3509.0,0,11.1,0,3,9,2013
2013-09-13,257.0,0.0,108.31,3841.0,0,9.5,0,4,9,2013
2013-09-14,443.0,0.0,108.31,4838.0,0,4.1,0,5,9,2013
2013-09-15,669.0,0.0,108.31,4904.0,0,6.2,1,6,9,2013
2013-09-16,312.0,0.0,106.54,3813.0,0,5.5,0,0,9,2013
2013-09-17,262.0,0.0,105.36,3311.0,0,16.8,0,1,9,2013
2013-09-18,268.0,0.0,108.23,3778.0,0,6.3,0,2,9,2013
2013-09-19,171.0,0.0,106.26,3333.0,0,3.4,0,3,9,2013
2013-09-20,360.0,0.0,104.7,3895.0,0,2.5,0,4,9,2013
2013-09-21,475.0,0.0,104.7,4601.0,0,1.8,0,5,9,2013
2013-09-22,580.0,0.0,104.7,4657.0,0,1.1,0,6,9,2013
2013-09-23,315.0,0.0,103.62,3758.0,0,0.7,0,0,9,2013
2013-09-24,229.0,0.0,103.22,3452.0,0,2.2,0,1,9,2013
2013-09-25,323.0,0.0,102.68,3832.0,0,13.1,0,2,9,2013
2013-09-26,180.0,0.0,103.1,3394.0,0,9.3,0,3,9,2013
2013-09-27,227.0,0.0,102.86,3827.0,0,11.9,0,4,9,2013
2013-09-28,589.0,0.0,102.86,4771.0,0,9.8,0,5,9,2013
2013-09-29,661.0,0.0,102.86,4788.0,0,16.3,0,6,9,2013
2013-09-30,308.0,0.0,102.36,3357.0,0,10.9,1,0,9,2013
2013-10-01,409.0,0.0,102.09,3753.0,0,2.3,0,1,10,2013
2013-10-02,446.0,0.0,104.15,4116.0,0,7.9,0,2,10,2013
2013-10-03,308.0,0.0,103.29,3593.0,0,9.3,0,3,10,2013
2013-10-04,328.0,0.0,103.83,4046.0,0,4.0,0,4,10,2013
2013-10-05,663.0,0.0,103.83,4890.0,0,1.2,0,5,10,2013
2013-10-06,734.0,0.0,103.83,4954.0,0,5.2,0,6,10,2013
2013-10-07,329.0,0.0,103.07,3663.0,0,5.1,0,0,10,2013
2013-10-08,252.0,0.0,103.54,3529.0,0,3.9,0,1,10,2013
2013-10-09,295.0,0.0,101.63,3969.0,0,11.8,0,2,10,2013
2013-10-10,221.0,0.0,103.08,3418.0,0,7.2,0,3,10,2013
2013-10-11,132.0,0.0,102.17,2333.0,1,5.3,0,4,10,2013
2013-10-12,442.0,0.0,102.17,4209.0,0,9.3,0,5,10,2013
2013-10-13,551.0,0.0,102.17,4345.0,0,15.2,0,6,10,2013
2013-10-14,252.0,0.0,102.46,3345.0,0,21.7,0,0,10,2013
2013-10-15,208.0,0.0,101.15,3175.0,0,13.8,1,1,10,2013
2013-10-16,318.0,0.0,102.34,3960.0,0,13.4,0,2,10,2013
2013-10-17,1519.0,0.0,100.72,3517.0,0,7.9,0,3,10,2013
2013-10-18,286.0,0.0,100.87,3795.0,0,10.6,0,4,10,2013
2013-10-19,588.0,0.0,100.87,5416.0,0,3.2,0,5,10,2013
2013-10-20,699.0,0.0,100.87,5284.0,0,11.5,0,6,10,2013
2013-10-21,284.0,0.0,99.28,3565.0,0,11.8,0,0,10,2013
2013-10-22,238.0,0.0,97.63,3386.0,0,12.5,0,1,10,2013
2013-10-23,278.0,0.0,96.9,3822.0,0,6.1,0,2,10,2013
2013-10-24,190.0,0.0,96.65,3436.0,0,4.0,0,3,10,2013
2013-10-25,200.0,0.0,97.4,3764.0,0,3.6,0,4,10,2013
2013-10-26,416.0,0.0,97.4,4826.0,0,9.6,0,5,10,2013
2013-10-27,515.0,0.0,97.4,4678.0,0,7.3,0,6,10,2013
2013-10-28,280.0,0.0,98.74,3611.0,0,3.0,0,0,10,2013
2013-10-29,248.0,0.0,98.29,3470.0,0,7.3,0,1,10,2013
2013-10-30,308.0,0.0,96.81,4031.0,0,9.7,0,2,10,2013
2013-10-31,201.0,0.0,96.29,3354.0,0,5.1,1,3,10,2013
2013-11-01,396.0,0.0,94.56,4148.0,0,0.0,0,4,11,2013
2013-11-02,684.0,0.0,94.56,4855.0,1,0.0,0,5,11,2013
2013-11-03,713.0,0.0,94.56,4973.0,1,0.3,0,6,11,2013
2013-11-04,388.0,0.0,94.58,3654.0,0,0.1,0,0,11,2013
2013-11-05,382.0,0.0,93.4,3655.0,0,3.4,0,1,11,2013
2013-11-06,453.0,0.0,94.74,4023.0,0,11.3,0,2,11,2013
2013-11-07,1343.0,0.0,94.25,3488.0,0,8.6,0,3,11,2013
2013-11-08,374.0,0.0,94.56,3806.0,0,7.7,0,4,11,2013
2013-11-09,791.0,0.0,94.56,5069.0,0,12.7,0,5,11,2013
2013-11-10,946.0,0.0,94.56,5197.0,0,8.7,0,6,11,2013
2013-11-11,399.0,0.0,95.13,3788.0,0,13.4,0,0,11,2013
2013-11-12,1195.0,0.0,93.12,3577.0,0,5.3,0,1,11,2013
2013-11-13,393.0,0.0,93.91,3970.0,0,7.1,0,2,11,2013
2013-11-14,326.0,0.0,93.76,3460.0,0,10.7,0,3,11,2013
2013-11-15,307.0,0.0,93.8,4106.0,0,9.4,1,4,11,2013
2013-11-16,791.0,0.0,93.8,5170.0,0,7.9,0,5,11,2013
2013-11-17,948.0,0.0,93.8,5125.0,0,10.1,0,6,11,2013
2013-11-18,426.0,0.0,93.03,3726.0,0,10.3,0,0,11,2013
2013-11-19,390.0,0.0,93.35,3712.0,0,6.2,0,1,11,2013
2013-11-20,366.0,0.0,93.34,4087.0,0,4.2,0,2,11,2013
2013-11-21,253.0,0.0,95.35,3467.0,0,10.7,0,3,11,2013
2013-11-22,298.0,0.0,94.53,4195.0,0,9.2,0,4,11,2013
2013-11-23,653.0,0.0,94.53,5085.0,0,16.9,0,5,11,2013
2013-11-24,732.0,0.0,94.53,4973.0,0,13.1,0,6,11,2013
2013-11-25,365.0,0.0,93.86,3908.0,0,11.5,0,0,11,2013
2013-11-26,294.0,0.0,93.41,3697.0,0,8.2,0,1,11,2013
2013-11-27,330.0,0.0,92.05,4292.0,0,6.3,0,2,11,2013
2013-11-28,262.0,0.0,92.05,3705.0,0,3.5,0,3,11,2013
2013-11-29,305.0,0.0,92.55,4061.0,0,9.6,0,4,11,2013
2013-11-30,672.0,0.0,92.55,5181.0,0,4.4,1,5,11,2013
2013-12-01,1084.0,0.0,92.55,5823.0,0,1.5,0,6,12,2013
2013-12-02,485.0,0.0,93.61,4259.0,0,2.2,0,0,12,2013
2013-12-03,465.0,0.0,95.83,4230.0,0,8.2,0,1,12,2013
2013-12-04,378.0,0.0,96.97,4644.0,0,6.5,0,2,12,2013
2013-12-05,290.0,0.0,97.14,4000.0,0,7.7,0,3,12,2013
2013-12-06,616.0,0.0,97.48,4525.0,0,7.9,0,4,12,2013
2013-12-07,797.0,0.0,97.48,4935.0,0,7.9,0,5,12,2013
2013-12-08,922.0,0.0,97.48,5171.0,0,15.1,0,6,12,2013
2013-12-09,443.0,0.0,97.1,4224.0,0,16.6,0,0,12,2013
2013-12-10,368.0,0.0,98.32,4305.0,0,5.6,0,1,12,2013
2013-12-11,510.0,0.0,97.25,4837.0,0,6.8,0,2,12,2013
2013-12-12,396.0,0.0,97.21,4675.0,0,2.4,0,3,12,2013
2013-12-13,353.0,0.0,96.27,4913.0,0,12.9,0,4,12,2013
2013-12-14,738.0,0.0,96.27,5950.0,0,9.5,0,5,12,2013
2013-12-15,959.0,0.0,96.27,6159.0,0,2.6,1,6,12,2013
2013-12-16,540.0,0.0,97.18,5165.0,0,6.9,0,0,12,2013
2013-12-17,449.0,0.0,96.99,5327.0,0,11.0,0,1,12,2013
2013-12-18,447.0,0.0,97.59,6059.0,0,22.3,0,2,12,2013
2013-12-19,345.0,0.0,98.4,5997.0,0,17.0,0,3,12,2013
2013-12-20,342.0,0.0,99.11,6119.0,0,5.6,0,4,12,2013
2013-12-21,719.0,0.0,99.11,6900.0,1,4.9,0,5,12,2013
